"VE_TOTAL","PERSONS","PEDS","NO_LANES","SP_LIMIT","FATALS","DRUNK_DR"
<node height="30.0">
2.0, 3.0, 0.0, 2.0, 25.0, 1.0, 1.0
2.0, 2.0, 0.0, 2.0, 25.0, 1.0, 1.0
2.0, 2.0, 0.0, 2.0, 25.0, 1.0, 1.0
2.0, 2.0, 0.0, 2.0, 25.0, 1.0, 1.0
2.0, 2.0, 0.0, 2.0, 25.0, 1.0, 1.0
2.0, 2.0, 0.0, 2.0, 25.0, 1.0, 0.0
2.0, 2.0, 0.0, 2.0, 25.0, 1.0, 0.0
2.0, 2.0, 0.0, 2.0, 25.0, 1.0, 0.0
2.0, 3.0, 0.0, 2.0, 25.0, 1.0, 0.0
2.0, 3.0, 0.0, 2.0, 25.0, 1.0, 0.0
2.0, 3.0, 0.0, 2.0, 25.0, 1.0, 0.0
2.0, 3.0, 0.0, 2.0, 25.0, 1.0, 0.0
2.0, 3.0, 0.0, 2.0, 25.0, 1.0, 0.0
2.0, 3.0, 0.0, 2.0, 25.0, 1.0, 0.0
2.0, 3.0, 0.0, 2.0, 25.0, 1.0, 0.0
1.0, 3.0, 1.0, 3.0, 25.0, 1.0, 0.0
1.0, 4.0, 1.0, 3.0, 25.0, 1.0, 0.0
1.0, 5.0, 1.0, 2.0, 25.0, 1.0, 0.0
1.0, 4.0, 1.0, 2.0, 25.0, 1.0, 0.0
2.0, 4.0, 1.0, 2.0, 25.0, 1.0, 0.0
2.0, 4.0, 0.0, 2.0, 25.0, 1.0, 0.0
2.0, 4.0, 0.0, 2.0, 25.0, 1.0, 0.0
2.0, 4.0, 0.0, 2.0, 25.0, 1.0, 0.0
1.0, 3.0, 0.0, 2.0, 25.0, 1.0, 0.0
1.0, 4.0, 0.0, 2.0, 25.0, 1.0, 0.0
1.0, 4.0, 0.0, 2.0, 25.0, 1.0, 0.0
1.0, 4.0, 0.0, 2.0, 25.0, 1.0, 0.0
1.0, 5.0, 0.0, 2.0, 25.0, 2.0, 2.0
1.0, 5.0, 0.0, 2.0, 25.0, 1.0, 2.0
1.0, 3.0, 1.0, 2.0, 25.0, 1.0, 2.0
1.0, 3.0, 1.0, 2.0, 25.0, 1.0, 1.0
1.0, 2.0, 1.0, 4.0, 25.0, 1.0, 0.0
1.0, 2.0, 1.0, 4.0, 25.0, 1.0, 0.0
1.0, 2.0, 1.0, 4.0, 25.0, 1.0, 0.0
1.0, 2.0, 1.0, 4.0, 25.0, 1.0, 0.0
1.0, 2.0, 1.0, 4.0, 25.0, 1.0, 0.0
1.0, 2.0, 1.0, 4.0, 25.0, 1.0, 0.0
1.0, 2.0, 1.0, 3.0, 25.0, 1.0, 0.0
1.0, 2.0, 1.0, 3.0, 25.0, 1.0, 0.0
1.0, 2.0, 1.0, 3.0, 25.0, 1.0, 0.0
1.0, 2.0, 1.0, 3.0, 25.0, 1.0, 0.0
1.0, 2.0, 1.0, 4.0, 25.0, 1.0, 2.0
1.0, 3.0, 0.0, 4.0, 25.0, 1.0, 3.0
2.0, 3.0, 0.0, 2.0, 25.0, 2.0, 3.0
2.0, 4.0, 0.0, 2.0, 25.0, 1.0, 2.0
2.0, 4.0, 0.0, 2.0, 25.0, 1.0, 1.0
1.0, 4.0, 0.0, 2.0, 25.0, 1.0, 2.0
1.0, 3.0, 0.0, 2.0, 25.0, 1.0, 2.0
1.0, 7.0, 1.0, 4.0, 25.0, 1.0, 0.0
1.0, 6.0, 0.0, 2.0, 25.0, 1.0, 0.0
4.0, 6.0, 1.0, 4.0, 25.0, 1.0, 0.0
2.0, 5.0, 0.0, 4.0, 25.0, 1.0, 1.0
2.0, 6.0, 0.0, 4.0, 25.0, 1.0, 1.0
2.0, 6.0, 0.0, 4.0, 25.0, 1.0, 0.0
1.0, 4.0, 0.0, 4.0, 25.0, 2.0, 0.0
3.0, 3.0, 0.0, 4.0, 25.0, 1.0, 0.0
2.0, 3.0, 0.0, 4.0, 25.0, 1.0, 0.0
2.0, 4.0, 0.0, 5.0, 25.0, 1.0, 1.0
3.0, 4.0, 0.0, 4.0, 25.0, 1.0, 1.0
<node height="76.0">
2.0, 2.0, 0.0, 9.0, 40.0, 1.0, 0.0
2.0, 3.0, 1.0, 9.0, 45.0, 1.0, 0.0
1.0, 1.0, 0.0, 9.0, 45.0, 1.0, 0.0
2.0, 2.0, 0.0, 9.0, 45.0, 1.0, 1.0
2.0, 2.0, 0.0, 9.0, 50.0, 1.0, 0.0
1.0, 1.0, 0.0, 3.0, 45.0, 1.0, 1.0
1.0, 1.0, 0.0, 3.0, 45.0, 1.0, 1.0
1.0, 1.0, 0.0, 2.0, 45.0, 1.0, 1.0
1.0, 1.0, 0.0, 2.0, 45.0, 1.0, 1.0
1.0, 1.0, 0.0, 2.0, 45.0, 1.0, 1.0
1.0, 1.0, 0.0, 2.0, 45.0, 1.0, 1.0
1.0, 1.0, 0.0, 2.0, 45.0, 1.0, 1.0
1.0, 1.0, 0.0, 2.0, 45.0, 1.0, 1.0
1.0, 1.0, 0.0, 2.0, 45.0, 1.0, 1.0
1.0, 1.0, 0.0, 2.0, 45.0, 1.0, 1.0
1.0, 1.0, 0.0, 2.0, 45.0, 1.0, 1.0
1.0, 1.0, 0.0, 2.0, 45.0, 1.0, 1.0
1.0, 1.0, 0.0, 2.0, 45.0, 1.0, 1.0
1.0, 1.0, 0.0, 2.0, 45.0, 1.0, 1.0
1.0, 1.0, 0.0, 2.0, 45.0, 1.0, 1.0
1.0, 1.0, 0.0, 2.0, 45.0, 1.0, 1.0
1.0, 1.0, 0.0, 2.0, 45.0, 1.0, 1.0
2.0, 1.0, 0.0, 2.0, 45.0, 1.0, 1.0
2.0, 2.0, 0.0, 2.0, 45.0, 1.0, 1.0
2.0, 2.0, 0.0, 2.0, 45.0, 1.0, 1.0
2.0, 2.0, 0.0, 2.0, 45.0, 1.0, 1.0
2.0, 2.0, 0.0, 2.0, 45.0, 1.0, 1.0
