-10,12,18,3,2
-9,0,3,1,0
-8,10,13,0,0
-7,6,9,0,1
-6,3,4,4,1
-5,10,15,4,4
-4,4,4,1,0
-3,9,6,4,3
-2,7,7,5,1
-1,4,4,3,3
0,44,33,18,22
1,3,5,4,6
2,7,5,9,9
3,7,7,18,18
4,5,6,20,15
5,11,13,25,25
6,3,7,11,17
7,4,8,14,17
8,5,6,17,14
9,9,1,2,5
10,16,5,16,16
